name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-30-5,2,1.33,13,1,164,1414,0,16.5398,2108,1414,0.868577,309,1543,0.383479,1220,0.12422,52,6741,6403,226,94,0,0,18,0,164,17,7/192,0,1.13174,1538
poi-30-5,2,1.33,13,2,82,633,0,1.46849,50,633,1.21603,207,741,0.022832,50,0.029832,21,397,343,53,1,0,0,0,0,82,7,4/192,0,1.62354,956
poi-30-5,2,1.33,13,2,164,1472,0,4.826,1171,1472,0.718588,97,1557,0.224949,659,0.059701,34,2991,2783,181,22,0,0,5,0,164,14,11/192,1,2.57051,1541
poi-30-5,2,1.33,13,3,82,633,0,1.73557,142,633,1.03387,245,802,0.03449,92,0.022596,18,498,434,64,0,0,0,0,0,82,7,4/192,0,1.24206,956
poi-30-5,2,1.33,13,3,164,1472,0,3.45469,553,1472,1.75371,1471,1555,0.152614,332,0.03631,16,1799,1705,86,8,0,0,0,0,164,14,11/192,1,1.30577,1541
poi-30-5,2,1.33,26,1,82,672,0,13.4085,2967,672,2.58267,208,1133,0.157881,1683,0.10488,59,1580,1350,154,46,0,0,13,17,82,6,5/1566,7,6.09299,1353
poi-30-5,2,1.33,26,1,164,1717,0,2008.16,33077,1717,3.09044,261,1865,3.03998,18787,0.227344,68,21018,20360,306,306,2,0,31,13,164,14,14/1566,8,3.57274,1858
poi-30-5,2,1.33,26,2,82,742,0,43.3761,2588,742,10.6198,643,1312,0.145641,1508,0.172955,63,1072,817,107,87,2,0,35,24,82,6,6/1566,12,21.4136,1466
poi-30-5,2,1.33,26,2,164,1879,0,2607.08,18339,1879,6.65162,1341,1916,2.52384,12795,0.40038,91,20334,19357,263,603,7,0,72,32,164,13,17/1566,1,1.50654,1916
poi-30-5,2,1.33,26,3,82,761,0,30.1467,2832,761,11.7978,190,1294,0.111949,1743,0.175557,48,401,231,67,55,0,0,21,27,82,4,8/1566,12,21.1252,1466
poi-30-5,2,1.33,26,3,164,1890,0,342.462,11289,1890,9.91727,1687,1916,0.935996,6847,0.399489,106,6314,5330,324,508,3,0,118,31,164,10,20/1566,1,1.76558,1916
poi-40-1,1,0.67,12,1,101,260.482,0,4.92492,867,260.482,2.2127,204.301,343.013,0.062426,484,0.163035,50,735,464,260,4,0,0,5,2,100,11,1/2630,3,3.00634,330.624
poi-40-1,1,0.67,12,1,202,557.995,0,4.08,299,557.995,1.72753,547.108,568.84,0.089631,200,0.207069,40,1124,848,249,19,0,0,8,0,202,21,2/2630,1,2.33178,572.845
poi-40-1,1,0.67,12,2,101,260.482,0,14.2989,1200,260.482,9.21522,246.492,329.649,0.102761,679,0.179538,55,929,606,304,8,0,0,8,3,100,11,1/2630,3,6.35817,330.624
poi-40-1,1,0.67,12,2,202,559.723,0,7.99335,269,559.723,4.54175,546.603,569.228,0.152253,180,0.121509,29,1121,934,179,3,0,0,5,0,202,21,2/2630,0,3.8886,572.845
poi-40-1,1,0.67,12,3,101,260.482,0,25.692,1629,260.482,18.3434,238.431,328.76,0.140436,927,0.271451,81,886,441,432,4,0,0,7,2,100,11,1/2630,3,10.7117,330.624
poi-40-1,1,0.67,12,3,202,559.723,0,9.08343,957,559.723,3.61843,543.113,578.584,0.243517,550,0.1813,32,1237,1006,214,5,0,0,12,0,202,21,2/2630,0,4.50561,572.845
poi-40-1,1,0.67,24,1,101,291.65,0,69.1015,6257,291.65,27.936,162.332,399.089,0.489407,3595,0.739178,140,1583,604,506,326,7,0,100,40,101,10,2/4490,3,6.95028,411.624
poi-40-1,1,0.67,24,1,202,571.62,0,84.4773,4711,571.62,2.2691,541.565,589.939,0.471946,3311,2.66504,189,4498,1464,255,2261,51,0,435,32,202,19,4/4490,0,2.87491,587.13
poi-40-1,1,0.67,24,2,101,300.65,0,385.788,27071,300.65,35.1058,184.907,427.613,1.7517,17392,3.76883,413,4414,2058,424,1177,55,0,557,143,101,10,3/4490,3,14.8392,425.092
poi-40-1,1,0.67,24,2,202,576.62,0,96.8381,6333,576.62,4.82265,541.565,590.051,0.718503,4373,2.25138,175,3155,1451,126,1153,29,0,335,61,202,19,5/4490,0,8.15044,587.13
poi-40-1,1,0.67,24,3,101,303.65,0,1240.15,138169,303.65,40.8624,153.246,433.474,8.24418,82283,4.15171,400,4287,2229,320,894,45,0,590,209,100,10,4/4490,0,53.4457,425.092
poi-40-1,1,0.67,24,3,202,579.62,0,105.358,2505,579.62,5.96282,541.565,590.322,0.787083,2007,1.01259,93,3057,2482,200,228,9,0,106,32,202,19,8/4490,0,11.5814,587.13
poi-40-1,1,1.34,12,1,101,305.954,0,17.0328,2430,305.954,9.82317,38.1606,414.168,0.175612,1334,0.353941,89,1563,1059,385,84,0,0,33,2,100,9,3/2630,6,6.38202,387.823
poi-40-1,1,1.34,12,1,202,645.21,0,27.0463,3578,645.21,6.08752,587.52,678.23,0.720552,2053,0.188344,53,7735,6976,669,77,0,0,13,0,200,16,7/2630,4,1.92898,677.045
poi-40-1,1,1.34,12,2,101,333.59,0,41.5407,3124,333.59,29.0166,251.5,434.364,0.250029,1899,0.495486,104,1925,1483,361,53,0,0,26,2,101,10,4/2630,2,13.5815,393.93
poi-40-1,1,1.34,12,2,202,667.869,0,26.9401,6142,667.869,5.25814,669.466,694.714,0.588193,3514,0.159009,44,3260,2872,364,20,0,0,4,0,202,15,9/2630,8,5.30718,682.491
poi-40-1,1,1.34,12,3,101,335.631,0,46.9905,2138,335.631,36.784,253.426,443.434,0.218278,1290,0.223965,63,1454,1143,295,10,0,0,5,1,101,9,5/2630,2,27.7806,393.93
poi-40-1,1,1.34,12,3,202,667.869,0,167.388,3543,667.869,43.7139,634.434,691.805,1.34296,2404,0.358212,59,6834,6367,398,54,0,0,15,0,202,15,9/2630,8,7.59186,682.491
poi-40-1,1,1.34,24,1,101,349.615,0,456.712,44427,349.615,72.8207,231.283,533.061,2.12458,25178,2.359,314,3751,1636,534,1124,63,0,307,87,101,7,6/4490,2,34.7595,531.472
poi-40-1,1,1.34,24,1,202,701.323,0.041527,3600.24,45945,730.447,9.36551,662.648,761.489,5.48367,33930,0.817677,76,-,-,-,-,-,-,-,-,-,-,-,-,8.35452,759.342
poi-40-1,1,1.34,24,2,101,418.646,0,1062.94,34505,418.646,61.2137,307.473,629.118,2.71184,22257,3.8996,387,8793,5536,395,1945,124,0,672,121,101,8,8/4490,2,41.6334,652.916
poi-40-1,1,1.34,24,2,202,720.875,0.0764957,3600.79,15374,776.019,15.4252,685.362,781.003,5.68873,12754,0.893089,75,-,-,-,-,-,-,-,-,-,-,-,-,4.16505,780.875
poi-40-1,1,1.34,24,3,101,418.646,0,2772.08,125305,418.646,93.6166,272.973,641.091,7.43866,74515,6.82699,615,7581,3414,463,2205,121,0,1152,226,101,8,8/4490,2,90.884,688.949
poi-40-1,1,1.34,24,3,202,721.612,0.0787805,3600.4,15187,778.461,13.4565,564.028,783.341,6.10439,13310,2.39441,180,-,-,-,-,-,-,-,-,-,-,-,-,1.3217,783.341
poi-40-1,2,0.67,12,1,101,287.696,0,11.4682,267,287.696,10.1017,255.289,324.041,0.080826,193,0.125768,71,1191,700,491,0,0,0,0,0,101,11,4/2630,1,2.60281,336.996
poi-40-1,2,0.67,12,1,202,565.575,0,4.52435,147,565.575,2.19276,558.231,571.922,0.062996,115,0.089298,26,731,591,134,5,0,0,1,0,202,21,3/2630,1,2.01042,578.704
poi-40-1,2,0.67,12,2,101,287.696,0,16.8375,234,287.696,11.6236,237.994,326.406,0.08001,184,0.133708,57,827,521,301,5,0,0,0,0,101,11,4/2630,1,4.75822,336.996
poi-40-1,2,0.67,12,2,202,565.575,0,9.09354,315,565.575,5.15699,550.726,572.813,0.126639,235,0.176552,33,949,763,167,13,0,0,6,0,202,21,4/2630,1,1.61497,578.704
poi-40-1,2,0.67,12,3,101,287.696,0,18.3333,147,287.696,16.6249,301.437,324.498,0.081196,114,0.132602,52,696,334,362,0,0,0,0,0,101,11,4/2630,1,6.70628,336.996
poi-40-1,2,0.67,12,3,202,565.575,0,11.7586,212,565.575,7.48301,550.726,573.175,0.099002,171,0.123672,27,744,544,194,4,0,0,2,0,201,21,3/2630,0,2.30782,578.704
poi-40-1,2,0.67,24,1,101,310.803,0,47.4669,3552,310.803,26.2742,256.973,430.278,0.274044,2065,0.343745,69,1208,772,271,125,0,0,35,5,101,10,5/4490,2,12.2713,425.092
poi-40-1,2,0.67,24,1,202,579.62,0,4.89126,400,579.62,2.07464,577.151,589.83,0.089549,231,0.276069,48,975,657,171,120,1,0,25,1,202,19,6/4490,0,2.58985,587.13
poi-40-1,2,0.67,24,2,101,328.272,0,112.546,2714,328.272,15.0749,183.283,432.946,0.349607,2037,0.682064,107,1144,626,300,147,4,0,59,8,101,8,9/4490,2,33.9792,431.459
poi-40-1,2,0.67,24,2,202,579.62,0,13.1541,873,579.62,4.12681,523.565,590.071,0.418116,603,0.775872,85,2506,1976,191,238,3,0,96,2,202,19,6/4490,0,6.66289,587.13
poi-40-1,2,0.67,24,3,101,331.272,0,97.4901,4130,331.272,31.3724,150.918,428.833,0.37711,2934,1.29401,171,1171,338,432,241,4,0,147,9,101,8,10/4490,2,32.5192,431.459
poi-40-1,2,0.67,24,3,202,579.62,0,90.3501,1594,579.62,6.37961,580.565,590.071,0.609159,1342,1.11269,118,2690,2041,294,238,5,0,109,3,202,19,6/4490,0,14.4313,587.13
poi-40-1,2,1.34,12,1,101,376.076,0,8.0466,732,376.076,4.67144,177.141,429.687,0.126134,404,0.110863,60,1591,1236,351,4,0,0,0,0,100,10,5/2630,1,6.41626,411.93
poi-40-1,2,1.34,12,1,202,663.577,0,15.9078,1862,663.577,3.18712,626.684,688.12,0.472712,1057,0.10673,49,5603,5018,561,21,0,0,3,0,201,17,7/2630,3,1.56033,681.531
poi-40-1,2,1.34,12,2,101,387.309,0,21.0152,565,387.309,18.2178,387.309,438.95,0.107921,382,0.091718,32,699,538,161,0,0,0,0,0,101,8,7/2630,1,5.41989,437.075
poi-40-1,2,1.34,12,2,202,677.577,0,98.2354,8347,677.577,6.34438,653.491,701.252,1.35576,5351,0.582992,113,8514,7700,701,75,0,0,13,25,196,15,9/2630,3,4.59785,693.672
poi-40-1,2,1.34,12,3,101,387.309,0,50.7999,271,387.309,48.5313,257.62,427.089,0.044165,183,0.107023,78,562,162,398,2,0,0,0,0,101,8,7/2630,1,8.45125,437.075
poi-40-1,2,1.34,12,3,202,677.577,0,88.5503,1379,677.577,4.10138,639.52,701.173,0.784633,1225,0.247692,50,4217,3788,388,32,0,0,9,0,197,15,9/2630,4,5.73273,693.672
poi-40-1,2,1.34,24,1,101,436.336,0,106.836,2595,436.336,82.2654,376.876,635.439,0.21644,1501,0.263002,72,1759,1274,341,121,1,0,18,4,100,9,7/4490,2,5.76255,652.916
poi-40-1,2,1.34,24,1,202,747.763,0,270.345,3816,747.763,6.60799,244.2,765.808,0.524992,2803,0.20382,47,2227,1792,277,145,0,0,12,1,202,14,13/4490,2,5.59194,764.328
poi-40-1,2,1.34,24,2,101,478.625,0,109.571,2170,478.625,81.6302,382.497,669.295,0.149825,1335,0.379162,87,976,355,482,104,0,0,31,4,101,7,10/4490,1,18.0901,699.715
poi-40-1,2,1.34,24,2,202,770.022,0,1303.1,10097,770.022,16.1306,563.741,781.46,2.37512,6880,0.928623,99,15117,14016,306,687,6,0,93,9,202,11,16/4490,3,3.83338,780.875
poi-40-1,2,1.34,24,3,101,484.625,0,137.601,3236,484.625,87.2345,441.788,692.935,0.603347,2134,0.562481,121,3933,3259,485,128,3,0,49,9,101,7,11/4490,1,49.4378,699.715
poi-40-1,2,1.34,24,3,202,778.67,0,762.29,6552,778.67,13.4724,723.341,783.341,1.46206,5455,0.572222,84,6081,5270,426,322,2,0,59,2,201,9,18/4490,7,1.68015,783.341
poi-40-2,1,0.67,12,1,97,346.533,0,1.61365,30,346.533,1.42567,345.655,375.936,0.006605,48,0.046571,11,84,42,42,0,0,0,0,0,97,13,0/2400,0,0.946051,402.794
poi-40-2,1,0.67,12,1,194,562.262,0,1.65556,3,562.262,1.55868,561.384,565.148,0.004904,33,0.069907,11,55,13,42,0,0,0,0,0,189,22,0/2400,0,0.540039,567.038
poi-40-2,1,0.67,12,2,97,346.533,0,4.43518,30,346.533,4.14688,303.775,380.455,0.01226,71,0.122385,32,211,91,120,0,0,0,0,0,97,13,0/2400,0,2.39638,402.794
poi-40-2,1,0.67,12,2,194,562.262,0,1.70659,1,562.262,1.52058,562.262,565.064,0.003019,16,0.062897,8,39,13,26,0,0,0,0,0,189,22,0/2400,0,0.767663,567.038
poi-40-2,1,0.67,12,3,97,346.533,0,2.96183,104,346.533,2.25145,304.653,388.404,0.014501,76,0.066229,23,196,110,86,0,0,0,0,0,97,13,0/2400,0,4.97999,402.794
poi-40-2,1,0.67,12,3,194,562.262,0,2.63509,1,562.262,2.48422,562.262,562.68,0.007934,28,0.075897,11,90,47,43,0,0,0,0,0,190,22,0/2400,0,1.62318,567.038
poi-40-2,1,0.67,24,1,97,353.533,0,27.376,2281,353.533,4.44611,345.655,447.392,1.12665,1603,0.46706,81,7959,7624,150,118,8,0,34,25,97,13,1/6248,0,7.28116,460.143
poi-40-2,1,0.67,24,1,194,566.262,0,3.71195,5,566.262,3.51726,566.262,567.373,0.012915,28,0.131922,33,255,115,126,3,0,0,6,5,193,22,1/6248,4,3.12077,568.038
poi-40-2,1,0.67,24,2,97,373.251,0,37.7829,4316,373.251,15.29,351.856,451.561,0.216659,2532,0.735972,113,1226,647,254,198,38,0,46,43,97,9,5/6248,0,11.6259,461.474
poi-40-2,1,0.67,24,2,194,566.262,0,9.37299,12,566.262,9.0759,566.262,567.685,0.009887,52,0.253484,44,198,0,147,17,0,0,16,18,193,22,1/6248,4,4.94061,568.038
poi-40-2,1,0.67,24,3,97,380.251,0,30.1937,1677,380.251,17.8616,345.655,450.287,0.228537,1185,0.631802,87,981,541,256,71,25,0,41,47,97,9,6/6248,0,19.5057,461.474
poi-40-2,1,0.67,24,3,194,566.262,0,14.0315,129,566.262,11.8697,565.157,568.626,0.2282,120,0.269104,37,767,606,116,17,0,0,17,11,194,22,1/6248,4,10.8778,568.038
poi-40-2,1,1.34,12,1,97,391.721,0,8.30439,384,391.721,7.40282,372.246,434.747,0.030908,267,0.161122,43,329,186,109,25,3,0,3,3,97,9,5/2400,2,2.01118,461.901
poi-40-2,1,1.34,12,1,194,636.038,0,0.52154,1,636.038,0.382008,636.038,636.433,0.000191,2,0.061773,10,21,0,9,11,0,0,1,0,193,16,7/2400,0,0.560516,636.038
